id (Event ID),commonName (Event Name),Classification,version,catalog.shortName,GPS,Mass_1_source (solar masses),mass_1_source_upper_error,Mass_1_Upper Limit (solar masses),mass_1_source_lower_error,Mass_1_Lower Limit (solar masses),Mass_2_source,mass_2_source_upper_error,Mass_2_Upper_Limit (solar masses),mass_2_source_lower,Mass_2_Lower_Limit (solar masses),Q-value (Ratio of Masses),Q-Value_Upper Limit,Q-value_lower limit,SNR_network_matched_filter,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff (Spin),chi_eff_lower_error,chi_eff_lower spin_limit,chi_eff_upper_error,chi_eff_upper spin_limit,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower_error,redshift_lower_limit,redshift_upper,redshift_upper_limit,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW150914-v3,GW150914,Black Hole (High Mass),3,GWTC-1-confident,1126259462,35.6,4.7,40.3,-3.1,32.5,30.6,3,33.6,-4.4,26.2,0.8595505618,1.033846154,0.8061538462,24.4,,,440,-170,150,-0.01,-0.13,0.12,0.12,0.13,,,,28.6,-1.5,1.7,,,,0.09,-0.03,0.06,0.03,0.12,1.00E-07,,,1,,,63.1,-3,3.4
GW151012-v3,GW151012, Black Hole (Low Mass),3,GWTC-1-confident,1128678900,23.2,14.9,38.1,-5.5,17.7,13.6,4.1,17.7,-4.8,8.8,0.5862068966,1,0.4971751412,10,,,1080,-490,550,0.05,-0.2,0.25,0.31,0.36,,,,15.2,-1.2,2.1,,,,0.21,-0.09,0.12,0.09,0.3,0.00792,,,1,,,35.6,-3.8,10.8
GW151226-v2,GW151226, Black Hole (Low Mass),2,GWTC-1-confident,1135136351,13.7,8.8,22.5,-3.2,10.5,7.7,2.2,9.9,-2.5,5.2,0.5620437956,0.9428571429,0.4952380952,13.1,,,450,-190,180,0.18,-0.12,0.3,0.2,0.38,,,,8.9,-0.3,0.3,,,,0.09,-0.04,0.05,0.04,0.13,1.00E-07,,,1,,,20.5,-1.5,6.4
GW170104-v2,GW170104,Black Hole (High Mass),2,GWTC-1-confident,1167559937,30.8,7.3,38.1,-5.6,25.2,20,4.9,24.9,-4.6,15.4,0.6493506494,0.9880952381,0.6111111111,13,,,990,-430,440,-0.04,-0.21,0.17,0.17,0.21,,,,21.4,-1.8,2.2,,,,0.2,-0.08,0.12,0.08,0.28,1.00E-07,,,1,,,48.9,-4,5.1
GW170608-v3,GW170608, Black Hole (Low Mass),3,GWTC-1-confident,1180922495,11,5.5,16.5,-1.7,9.3,7.6,1.4,9,-2.2,5.4,0.6909090909,0.9677419355,0.5806451613,14.9,,,320,-110,120,0.03,-0.07,0.1,0.19,0.22,,,,7.9,-0.2,0.2,,,,0.07,-0.02,0.05,0.02,0.09,1.00E-07,,,1,,,17.8,-0.7,3.4
GW170729-v1,GW170729,Black Hole (High Mass),1,GWTC-1-confident,1185389807,50.2,16.2,66.4,-10.2,40,34,9.1,43.1,-10.1,23.9,0.6772908367,1.0775,0.5975,10.2,,,2840,-1360,1400,0.37,-0.25,0.62,0.21,0.58,,,,35.4,-4.8,6.5,,,,0.49,-0.21,0.28,0.19,0.68,0.02,,,0.94,,,79.5,-10.2,14.7
GW170809-v1,GW170809,Black Hole (High Mass),1,GWTC-1-confident,1186302520,35,8.3,43.3,-5.9,29.1,23.8,5.1,28.9,-5.2,18.6,0.68,0.9931271478,0.6391752577,12.4,,,1030,-390,320,0.08,-0.17,0.25,0.17,0.25,,,,24.9,-1.7,2.1,,,,0.2,-0.07,0.13,0.05,0.25,1.00E-07,,,1,,,56.3,-3.8,5.2
GW170814-v3,GW170814,Black Hole (High Mass),3,GWTC-1-confident,1186741862,30.6,5.6,36.2,-3,27.6,25.2,2.8,28,-4,21.2,0.8235294118,1.014492754,0.768115942,15.9,,,600,-220,150,0.07,-0.12,0.19,0.12,0.19,,,,24.1,-1.1,1.4,,,,0.12,-0.04,0.08,0.03,0.15,1.00E-07,,,1,,,53.2,-2.4,3.2
GW170817-v3,GW170817,Neutron Star ,3,GWTC-1-confident,1187008882,1.46,0.12,1.58,-0.1,1.36,1.27,0.09,1.36,-0.09,1.18,0.8698630137,1,0.8676470588,33,,,40,-15,7,0,-0.01,0.01,0.02,0.02,,,,1.186,-0.001,0.001,,,,0.01,0,0.01,0,0.01,1.00E-07,,,1,,,2.8,,
GW170818-v1,GW170818,Black Hole (High Mass),1,GWTC-1-confident,1187058327,35.4,7.5,42.9,-4.7,30.7,26.7,4.3,31,-5.2,21.5,0.7542372881,1.009771987,0.7003257329,11.3,,,1060,-380,420,-0.09,-0.21,0.12,0.18,0.27,,,,26.5,-1.7,2.1,,,,0.21,-0.07,0.14,0.07,0.28,4.20E-05,,,1,,,59.4,-3.8,4.9
GW170823-v1,GW170823,Black Hole (High Mass),1,GWTC-1-confident,1187529257,39.5,11.2,50.7,-6.7,32.8,29,6.7,35.7,-7.8,21.2,0.7341772152,1.088414634,0.6463414634,11.5,,,1940,-900,970,0.09,-0.26,0.35,0.22,0.31,,,,29.2,-3.6,4.6,,,,0.35,-0.15,0.2,0.15,0.5,1.00E-07,,,1,,,65.4,-7.4,10.1
GW190403_051519-v1,GW190403_051519,Black Hole (High Mass),1,GWTC-2.1-confident,1238303737,88,28.2,116.2,-32.9,55.1,22.1,23.8,45.9,-9,13.1,0.2511363636,0.833030853,0.2377495463,7.9557,,,8000,-3990,5880,0.7,-0.27,0.97,0.15,0.85,110.5,-24.2,30.6,36.3,-8.8,14.4,,,,1.14,-0.49,0.65,0.64,1.78,7.7,,,0.60924,,,105.2,-24.1,29.1
GW190408_181802-v1,GW190408_181802, Black Hole (Low Mass),1,GWTC-2,1238782700,24.6,5.1,29.7,-3.4,21.2,18.4,3.3,21.7,-3.6,14.8,0.7479674797,1.023584906,0.6981132075,14.67360038,,,1550,-600,400,-0.03,-0.19,0.16,0.14,0.17,43,-3,4.2,18.3,-1.2,1.9,23.7,-1.7,1.4,0.29,-0.1,0.19,0.06,0.35,1.00E-05,,,1,,,41.1,-2.8,3.9
GW190412-v3,GW190412,Black Hole (Low Mass),3,GWTC-2,1239082262,30.1,4.7,34.8,-5.1,25,8.3,1.6,9.9,-0.9,7.4,0.2757475083,0.396,0.296,18.86182683,,,740,-170,140,0.25,-0.11,0.36,0.08,0.33,38.4,-3.7,3.8,13.3,-0.3,0.4,15.2,-0.2,0.2,0.15,-0.03,0.12,0.03,0.18,1.00E-05,,,1,,,37.3,-3.8,3.9
GW190413_052954-v1,GW190413_052954,Black Hole (High Mass),1,GWTC-2,1239168613,34.7,12.6,47.3,-8.1,26.6,23.7,7.3,31,-6.7,17,0.6829971182,1.165413534,0.6390977444,8.555396162,,,3550,-1660,2270,-0.01,-0.34,0.33,0.29,0.3,58.6,-9.7,13.3,24.6,-4.1,5.5,39.4,-6.6,7.7,0.59,-0.24,0.35,0.29,0.88,0.071683267,,,0.97779,,,56,-9.2,12.5
GW190413_134308-v1,GW190413_134308,Black Hole (High Mass),1,GWTC-2,1239198207,47.5,13.5,61,-10.7,36.8,31.8,11.7,43.5,-10.8,21,0.6694736842,1.182065217,0.5706521739,9.03069302,,,4450,-2120,2480,-0.03,-0.29,0.26,0.25,0.28,78.8,-11.9,17.4,33,-5.4,8.2,57,-9.8,8.6,0.71,-0.3,0.41,0.31,1.02,0.04365732,,,0.9849,,,75.5,-11.4,16.4
GW190421_213856-v1,GW190421_213856,Black Hole (High Mass),1,GWTC-2,1239917954,41.3,10.4,51.7,-6.9,34.4,31.9,8,39.9,-8.8,23.1,0.7723970944,1.159883721,0.6715116279,10.5506957,,,2880,-1380,1370,-0.06,-0.27,0.21,0.22,0.28,72.9,-9.2,13.4,31.2,-4.2,5.9,46.6,-6,6.6,0.49,-0.21,0.28,0.19,0.68,0.000773831,,,0.999768,,,69.7,-8.7,12.5
GW190425-v2,GW190425,Neutron Star ,2,GWTC-2,1240215503,2,0.6,2.6,-0.3,1.7,1.4,0.3,1.7,-0.3,1.1,0.7,1,0.6470588235,13.02922972,,,160,-70,70,0.06,-0.05,0.11,0.11,0.17,3.4,-0.1,0.3,1.44,-0.02,0.02,1.49,-0.0006,0.0008,0.03,-0.02,0.01,0.01,0.04,0.000751855,,,,,,,,
GW190426_152155-v1,GW190426_152155,Neutron Star + Black Hole,1,GWTC-2,1240327333,5.7,3.9,9.6,-2.3,3.4,1.5,0.8,2.3,-0.5,1,0.2631578947,0.6764705882,0.2941176471,10.12041365,,,370,-160,180,-0.03,-0.3,0.27,0.32,0.35,7.2,-1.5,3.5,2.41,-0.08,0.08,2.6,-0.01,0.01,0.08,-0.03,0.05,0.04,0.12,1.443741335,,,,,,,,
GW190426_190642-v1,GW190426_190642,Black Hole (High Mass),1,GWTC-2.1-confident,1240340821,106.9,41.6,148.5,-25.2,81.7,76.6,26.2,102.8,-33.6,43,0.7165575304,1.258261934,0.5263157895,9.572,,,4350,-2150,3350,0.19,-0.4,0.59,0.43,0.62,184.4,-36.6,41.7,77.1,-17.1,19.4,,,,0.7,-0.3,0.4,0.41,1.11,4.1,,,0.75053,,,175,-34.3,39.4
GW190503_185404-v1,GW190503_185404,Black Hole (High Mass),1,GWTC-2,1240944862,43.3,9.2,52.5,-8.1,35.2,28.4,7.7,36.1,-8,20.4,0.6558891455,1.025568182,0.5795454545,12.09959961,,,1450,-630,690,-0.03,-0.26,0.23,0.2,0.23,71.7,-8.3,9.4,30.2,-4.2,4.2,38.6,-6,5.3,0.27,-0.11,0.16,0.11,0.38,1.00E-05,,,0.999995,,,68.6,-7.7,8.8
GW190512_180714-v1,GW190512_180714,Black Hole (High Mass),1,GWTC-2,1241719652,23.3,5.3,28.6,-5.8,17.5,12.6,3.6,16.2,-2.5,10.1,0.5407725322,0.9257142857,0.5771428571,12.26449406,,,1430,-550,550,0.03,-0.13,0.16,0.12,0.15,35.9,-3.5,3.8,14.6,-1,1.3,18.6,-0.8,0.9,0.27,-0.1,0.17,0.09,0.36,1.00E-05,,,1,,,34.5,-3.5,3.8
GW190513_205428-v1,GW190513_205428,Black Hole (High Mass),1,GWTC-2,1241816087,35.7,9.5,45.2,-9.2,26.5,18,7.7,25.7,-4.1,13.9,0.5042016807,0.9698113208,0.5245283019,12.28987774,,,2060,-800,880,0.11,-0.17,0.28,0.28,0.39,53.9,-5.9,8.6,21.6,-1.9,3.8,29.5,-2.5,5.6,0.37,-0.13,0.24,0.13,0.5,1.00E-05,,,1,,,51.6,-5.8,8.2
GW190514_065416-v1,GW190514_065416,Black Hole (High Mass),1,GWTC-2,1241852075,39,14.7,53.7,-8.2,30.8,28.4,9.3,37.7,-8.8,19.6,0.7282051282,1.224025974,0.6363636364,8.30449355,,,4130,-2170,2650,-0.19,-0.32,0.13,0.29,0.48,67.2,-10.8,18.7,28.5,-4.8,7.9,48.1,-7.7,7.5,0.67,-0.31,0.36,0.33,1,0.526687679,,,0.95959,,,64.5,-10.4,17.9
GW190517_055101-v1,GW190517_055101,Black Hole (High Mass),1,GWTC-2,1242107480,37.4,11.7,49.1,-7.6,29.8,25.3,7,32.3,-7.3,18,0.6764705882,1.083892617,0.6040268456,10.24122164,,,1860,-840,1620,0.52,-0.19,0.71,0.19,0.71,63.5,-9.6,9.6,26.6,-4,4,35.9,-3.4,4,0.34,-0.14,0.2,0.24,0.58,5.72E-05,,,1,,,59.3,-8.9,9.1
GW190519_153544-v1,GW190519_153544,Black Hole (High Mass),1,GWTC-2,1242315362,66,10.7,76.7,-12,54,40.5,11,51.5,-11.1,29.4,0.6136363636,0.9537037037,0.5444444444,12.04985271,,,2530,-920,1830,0.31,-0.22,0.53,0.2,0.51,106.6,-14.8,13.5,44.5,-7.1,6.4,65.1,-10.3,7.7,0.44,-0.14,0.3,0.25,0.69,1.00E-05,,,0.999998,,,101,-13.8,12.4
GW190521-v3,GW190521,Black Hole (High Mass),3,GWTC-2,1242442967,95.3,28.7,124,-18.9,76.4,69,22.7,91.7,-23.1,45.9,0.7240293809,1.20026178,0.6007853403,14.37604605,,,3920,-1950,2190,0.03,-0.39,0.42,0.32,0.35,163.9,-23.5,39.2,69.2,-10.6,17,114.8,-17.6,15.2,0.64,-0.28,0.36,0.28,0.92,0.000203964,,,,,,156.3,-22.4,36.8
GW190521_074359-v1,GW190521_074359,Black Hole (High Mass),1,GWTC-2,1242459858,42.2,5.9,48.1,-4.8,37.4,32.8,5.4,38.2,-6.4,26.4,0.7772511848,1.021390374,0.7058823529,24.38410872,,,1240,-570,400,0.09,-0.13,0.22,0.1,0.19,74.7,-4.8,7,32.1,-2.5,3.2,39.8,-3,2.2,0.24,-0.1,0.14,0.07,0.31,1.00E-05,,,1,,,71,-4.4,6.5
GW190527_092055-v1,GW190527_092055,Black Hole (High Mass),1,GWTC-2,1242984074,36.5,16.4,52.9,-9,27.5,22.6,10.5,33.1,-8.1,14.5,0.6191780822,1.203636364,0.5272727273,8.867476218,,,2490,-1240,2480,0.11,-0.28,0.39,0.28,0.39,59.1,-9.8,21.3,24.3,-4.2,9.1,34.9,-5.5,21.7,0.44,-0.2,0.24,0.34,0.78,0.062270351,,,0.988513,,,56.4,-9.3,20.2
GW190602_175927-v1,GW190602_175927,Black Hole (High Mass),1,GWTC-2,1243533585,69.1,15.7,84.8,-13,56.1,47.8,14.3,62.1,-17.4,30.4,0.6917510854,1.106951872,0.5418894831,12.13087549,,,2690,-1120,1790,0.07,-0.24,0.31,0.25,0.32,116.3,-15.6,19,49.1,-8.5,9.1,72.9,-13.7,10.8,0.47,-0.17,0.3,0.25,0.72,1.15E-05,,,0.999994,,,110.9,-14.9,17.7
GW190620_030421-v1,GW190620_030421,Black Hole (High Mass),1,GWTC-2,1245035079,57.1,16,73.1,-12.7,44.4,35.5,12.2,47.7,-12.3,23.2,0.6217162872,1.074324324,0.5225225225,10.91846315,,,2810,-1310,1680,0.33,-0.25,0.58,0.22,0.55,92.1,-13.1,18.5,38.3,-6.5,8.3,57.5,-11.2,9,0.49,-0.2,0.29,0.23,0.72,0.002920938,,,0.999133,,,87.2,-12.1,16.8
GW190630_185205-v1,GW190630_185205,Black Hole (High Mass),1,GWTC-2,1245955943,35.1,6.9,42,-5.6,29.5,23.7,5.2,28.9,-5.1,18.6,0.6752136752,0.9796610169,0.6305084746,15.64051209,,,890,-370,560,0.1,-0.13,0.23,0.12,0.22,59.1,-4.8,4.6,24.9,-2.1,2.1,29.4,-1.5,1.6,0.18,-0.07,0.11,0.1,0.28,1.00E-05,,,1,,,56.4,-4.6,4.4
GW190701_203306-v1,GW190701_203306,Black Hole (High Mass),1,GWTC-2,1246048405,53.9,11.8,65.7,-8,45.9,40.8,8.7,49.5,-12,28.8,0.7569573284,1.078431373,0.6274509804,11.58996006,,,2060,-730,760,-0.07,-0.29,0.22,0.23,0.3,94.3,-9.5,12.1,40.3,-4.9,5.4,55.5,-8.1,7.3,0.37,-0.12,0.25,0.11,0.48,0.010861369,,,0.997879,,,90.2,-8.9,11.3
GW190706_222641-v1,GW190706_222641,Black Hole (High Mass),1,GWTC-2,1246487219,67,14.6,81.6,-16.2,50.8,38.2,14.6,52.8,-13.3,24.9,0.5701492537,1.039370079,0.4901574803,12.34834506,,,4420,-1930,2590,0.28,-0.29,0.57,0.26,0.54,104.1,-13.9,20.2,42.7,-7,10,75.1,-17.5,11,0.71,-0.27,0.44,0.32,1.03,1.00E-05,,,1,,,99,-13.5,18.3
GW190707_093326-v1,GW190707_093326,PBH Candidate ,1,GWTC-2,1246527224,11.6,3.3,14.9,-1.7,9.9,8.4,1.4,9.8,-1.7,6.7,0.724137931,0.9898989899,0.6767676768,12.97817936,,,770,-370,380,-0.05,-0.08,0.03,0.1,0.15,20.1,-1.3,1.9,8.5,-0.5,0.6,9.89,-0.09,0.1,0.16,-0.07,0.09,0.07,0.23,1.00E-05,,,1,,,19.2,-1.3,1.9
GW190708_232457-v1,GW190708_232457,Black Hole (High Mass),1,GWTC-2,1246663515,17.6,4.7,22.3,-2.3,15.3,13.2,2,15.2,-2.7,10.5,0.75,0.9934640523,0.6862745098,13.0713007,,,880,-390,330,0.02,-0.08,0.1,0.1,0.12,30.9,-1.8,2.5,13.2,-0.6,0.9,15.5,-0.2,0.3,0.18,-0.07,0.11,0.06,0.24,2.83E-05,,,0.999988,,,29.5,-1.8,2.5
GW190719_215514-v1,GW190719_215514,Black Hole (High Mass),1,GWTC-2,1247608533,36.5,18,54.5,-10.3,26.2,20.8,9,29.8,-7.2,13.6,0.5698630137,1.13740458,0.5190839695,7.993907515,,,3940,-2000,2590,0.32,-0.31,0.63,0.29,0.61,57.8,-10.7,18.3,23.5,-4,6.5,38.7,-6.6,9.2,0.64,-0.29,0.35,0.33,0.97,1.559222129,,,0.81555,,,54.9,-10.2,17.3
GW190720_000836-v1,GW190720_000836,Black Hole (Low Mass),1,GWTC-2,1247616535,13.4,6.7,20.1,-3,10.4,7.8,2.3,10.1,-2.2,5.6,0.5820895522,0.9711538462,0.5384615385,11.69609782,,,790,-320,690,0.18,-0.12,0.3,0.14,0.32,21.5,-2.3,4.3,8.9,-0.8,0.5,10.4,-0.1,0.2,0.16,-0.06,0.1,0.12,0.28,1.00E-05,,,1,,,20.4,-2.2,4.5
GW190725_174728-v1,GW190725_174728,Black Hole (Low Mass),1,GWTC-2.1-confident,1248112066,11.5,6.2,17.7,-2.7,8.8,6.4,2,8.4,-2,4.4,0.5565217391,0.9545454545,0.5,9.074,,,1050,-460,570,-0.04,-0.14,0.1,0.26,0.3,18.2,-1.8,4.2,7.4,-0.5,0.6,,,,0.21,-0.09,0.12,0.1,0.31,0.46,,,0.96021,,,17.4,-1.8,4.4
GW190727_060333-v1,GW190727_060333,Black Hole (Low Mass),1,GWTC-2,1248242632,38,9.5,47.5,-6.2,31.8,29.4,7.1,36.5,-8.4,21,0.7736842105,1.147798742,0.6603773585,12.29941092,,,3300,-1500,1540,0.11,-0.25,0.36,0.26,0.37,67.1,-8,11.7,28.6,-3.7,5.3,44.7,-5.7,5.3,0.55,-0.22,0.33,0.21,0.76,1.00E-05,,,1,,,63.8,-7.5,10.9
GW190728_064510-v1,GW190728_064510,Black Hole (Low Mass),1,GWTC-2,1248331529,12.3,7.2,19.5,-2.2,10.1,8.1,1.7,9.8,-2.6,5.5,0.6585365854,0.9702970297,0.5445544554,13.64274848,,,870,-370,260,0.12,-0.07,0.19,0.2,0.32,20.6,-1.3,4.5,8.6,-0.3,0.5,10.1,-0.08,0.09,0.18,-0.07,0.11,0.05,0.23,1.00E-05,,,1,,,19.6,-1.3,4.7
GW190731_140936-v1,GW190731_140936,Black Hole (High Mass),1,GWTC-2,1248617395,41.5,12.2,53.7,-9,32.5,28.8,9.7,38.5,-9.5,19.3,0.6939759036,1.184615385,0.5938461538,8.460146466,,,3300,-1720,2390,0.06,-0.24,0.3,0.24,0.3,70.1,-11.3,15.8,29.5,-5.2,7.1,46.6,-8.2,6.8,0.55,-0.26,0.29,0.31,0.86,0.205842123,,,0.966501,,,67,-10.8,14.6
GW190803_022701-v1,GW190803_022701,Black Hole (High Mass),1,GWTC-2,1248834440,37.3,10.6,47.9,-7,30.3,27.3,7.8,35.1,-8.2,19.1,0.7319034853,1.158415842,0.6303630363,8.614396126,,,3270,-1580,1950,-0.03,-0.27,0.24,0.24,0.27,64.5,-9,12.6,27.3,-4.1,5.7,42.7,-6.1,6.3,0.55,-0.24,0.31,0.26,0.81,0.026934317,,,0.99411,,,61.7,-8.5,11.8
GW190805_211137-v1,GW190805_211137,Black Hole (High Mass),1,GWTC-2.1-confident,1249074715,48.2,17.5,65.7,-12.5,35.7,32,13.4,45.4,-11.4,20.6,0.6639004149,1.271708683,0.5770308123,8.2505,,,5310,-2950,4100,0.35,-0.36,0.71,0.3,0.65,80.1,-16.1,22.5,33.5,-7,10.1,,,,0.82,-0.4,0.42,0.48,1.3,0.63,,,0.95372,,,75.8,-15.3,21.2
