id (Event ID),commonName (Event Name),Classification,version,catalog.shortName,GPS,Mass_1_source (solar masses),mass_1_source_upper_error,Mass_1_Upper Limit (solar masses),mass_1_source_lower_error,Mass_1_Lower Limit (solar masses),Mass_2_source,mass_2_source_upper_error,Mass_2_Upper_Limit (solar masses),mass_2_source_lower,Mass_2_Lower_Limit (solar masses),Q-value (Ratio of Masses),Q-Value_Upper Limit,Q-value_lower limit,SNR_network_matched_filter,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff (Spin),chi_eff_lower_error,chi_eff_lower spin_limit,chi_eff_upper_error,chi_eff_upper spin_limit,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower_error,redshift_lower_limit,redshift_upper,redshift_upper_limit,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW190814-v2,GW190814,PBH Candidate,2,GWTC-2,1249852257,23.2,1.1,24.3,-1,22.2,2.59,0.08,2.67,-0.09,2.5,0.111637931,0.1202702703,0.1126126126,22.17523326,,,240,-50,40,0,-0.001,0.001,0.002,0.002,25.8,-0.9,1,6.09,-0.06,0.06,6.41,-0.02,0.02,0.05,-0.01,0.04,0.009,0.059,1.00E-05,,,1,,,25.6,-0.9,1.1
GW190828_063405-v1,GW190828_063405,Black Hole (Low Mass),1,GWTC-2,1251009264,32.1,5.8,37.9,-4,28.1,26.2,4.6,30.8,-4.8,21.4,0.8161993769,1.096085409,0.7615658363,16.03592292,,,2130,-930,660,0.19,-0.16,0.35,0.15,0.34,58,-4.8,7.7,25,-2.1,3.4,34.5,-2.8,2.9,0.38,-0.15,0.23,0.1,0.48,1.00E-05,,,1,,,54.9,-4.3,7.2
GW190828_065509-v1,GW190828_065509,Black Hole (Low Mass),1,GWTC-2,1251010528,24.1,7,31.1,-7.2,16.9,10.2,3.6,13.8,-2.1,8.1,0.4232365145,0.8165680473,0.4792899408,11.12790887,,,1600,-600,620,0.08,-0.16,0.24,0.16,0.24,34.4,-4.4,5.4,13.3,-1,1.2,17.4,-0.7,0.6,0.3,-0.1,0.2,0.1,0.4,1.00E-05,,,1,,,33.1,-4.5,5.5
GW190910_112807-v1,GW190910_112807,Black Hole (Low Mass),1,GWTC-2,1252150105,43.9,7.6,51.5,-6.1,37.8,35.6,6.3,41.9,-7.2,28.4,0.8109339408,1.108465608,0.7513227513,13.41737344,,,1460,-580,1030,0.02,-0.18,0.2,0.18,0.2,79.6,-9.1,9.3,34.3,-4.1,4.1,43.9,-3.6,4.6,0.28,-0.1,0.18,0.16,0.44,1.89E-05,,,0.999988,,,75.8,-8.6,8.5
GW190915_235702-v1,GW190915_235702,Black Hole (Low Mass),1,GWTC-2,1252627041,35.3,9.5,44.8,-6.4,28.9,24.4,5.6,30,-6.1,18.3,0.6912181303,1.038062284,0.6332179931,13.07209167,,,1620,-610,710,0.02,-0.25,0.27,0.2,0.22,59.9,-6.4,7.5,25.3,-2.7,3.2,33.1,-3.9,3.3,0.3,-0.1,0.2,0.11,0.41,1.00E-05,,,1,,,57.2,-6,7.1
GW190916_200658-v1,GW190916_200658,Black Hole (High Mass),1,GWTC-2.1-confident,1252699637,44.3,21.2,65.5,-13.3,31,23.9,12.7,36.6,-10.2,13.7,0.539503386,1.180645161,0.4419354839,8.208,,,4460,-2520,3790,0.18,-0.29,0.47,0.33,0.51,68.9,-14,21,27.3,-5.5,9.3,,,,0.71,-0.36,0.35,0.46,1.17,6900,,,0.65727,,,65.7,-13.4,19.8
GW190917_114630-v1,GW190917_114630,PBH Candidate,1,GWTC-2.1-confident,1252756008,9.3,3.4,12.7,-4.4,4.9,2.1,1.5,3.6,-0.5,1.6,0.2258064516,0.7346938776,0.3265306122,9.4556,,,720,-310,340,-0.11,-0.49,0.38,0.24,0.35,11.4,-2.9,3,3.7,-0.2,0.2,,,,0.15,-0.06,0.09,0.06,0.21,0.66,,,0.76643,,,11.2,-2.9,3
GW190924_021846-v1,GW190924_021846,PBH Candidate,1,GWTC-2,1253326745,8.9,7,15.9,-2,6.9,5,1.4,6.4,-1.9,3.1,0.5617977528,0.9275362319,0.4492753623,13.15903752,,,570,-220,220,0.03,-0.09,0.12,0.3,0.33,13.9,-1,5.1,5.8,-0.2,0.2,6.44,-0.03,0.04,0.12,-0.04,0.08,0.04,0.16,1.00E-05,,,1,,,13.3,-1,5.2
GW190925_232845-v1,GW190925_232845,Black Hole (Low Mass),1,GWTC-2.1-confident,1253489343,21.2,6.9,28.1,-3.1,18.1,15.6,2.6,18.2,-3.6,12,0.7358490566,1.005524862,0.6629834254,9.8838,,,930,-350,380,0.11,-0.14,0.25,0.17,0.28,37,-2.6,3.8,15.8,-1,1.1,,,,0.19,-0.07,0.12,0.07,0.26,0.0072,,,0.98849,,,35.2,-2.4,3.8
GW190926_050336-v1,GW190926_050336,Black Hole (High Mass),1,GWTC-2.1-confident,1253509434,39.8,20.6,60.4,-11.1,28.7,23.2,10.8,34,-9.7,13.5,0.5829145729,1.18466899,0.4703832753,9.0049,,,3780,-2000,3170,-0.04,-0.33,0.29,0.28,0.32,62.9,-11.9,22.7,25.6,-5.3,8.8,,,,0.62,-0.29,0.33,0.4,1.02,1.1,,,0.54334,,,60.5,-11.6,21.8
GW190929_012149-v1,GW190929_012149,Black Hole (High Mass),1,GWTC-2,1253755328,80.8,33,113.8,-33.2,47.6,24.1,19.3,43.4,-10.6,13.5,0.2982673267,0.9117647059,0.2836134454,9.875628916,,,2130,-1050,3650,0.01,-0.33,0.34,0.34,0.35,104.3,-25.2,34.9,35.8,-8.2,14.9,52.2,-15.4,19.9,0.38,-0.17,0.21,0.49,0.87,0.020161444,,,0.995693,,,101.5,-25.3,33.6
GW190930_133541-v1,GW190930_133541,Black Hole (Low Mass),1,GWTC-2,1253885759,12.3,12.4,24.7,-2.3,10,7.8,1.7,9.5,-3.3,4.5,0.6341463415,0.95,0.45,9.837638319,,,760,-320,360,0.14,-0.15,0.29,0.31,0.45,20.3,-1.5,8.9,8.5,-0.5,0.5,9.8,-0.2,0.2,0.15,-0.06,0.09,0.06,0.21,0.033092198,,,0.99373,,,19.4,-1.5,9.2
GW191103_012549-v1,GW191103_012549,Black Hole (Low Mass),1,GWTC-3-confident,1256779568,11.8,6.2,18,-2.2,9.6,7.9,1.7,9.6,-2.4,5.5,0.6694915254,1,0.5729166667,8.9,-0.5,0.3,990,-470,500,0.21,-0.1,0.31,0.16,0.37,20,-1.8,3.7,8.34,-0.57,0.66,,,,0.2,-0.09,0.11,0.09,0.29,0.46,,,0.94318,,,19,-1.7,3.8
GW191105_143521-v1,GW191105_143521,Black Hole (Low Mass),1,GWTC-3-confident,1256999740,10.7,3.7,14.4,-1.6,9.1,7.7,1.4,9.1,-1.9,5.8,0.7196261682,1,0.6373626374,9.7,-0.5,0.3,1150,-480,430,-0.02,-0.09,0.07,0.13,0.15,18.5,-1.3,2.1,7.82,-0.45,0.61,,,,0.23,-0.09,0.14,0.07,0.3,0.012,,,0.99,,,17.6,-1.2,2.1
GW191109_010717-v1,GW191109_010717,Black Hole (High Mass),1,GWTC-3-confident,1257296855,65,11,76,-11,54,47,15,62,-13,34,0.7230769231,1.148148148,0.6296296296,17.3,-0.5,0.5,1290,-650,1130,-0.29,-0.31,0.02,0.42,0.71,112,-16,20,47.5,-7.5,9.6,,,,0.25,-0.12,0.13,0.18,0.43,0.00018,,,0.99,,,107,-15,18
GW191113_071753-v1,GW191113_071753,Black Hole (High Mass),1,GWTC-3-confident,1257664692,29,12,41,-14,15,5.9,4.4,10.3,-1.3,4.6,0.2034482759,0.6866666667,0.3066666667,7.9,-1.1,0.5,1370,-620,1150,0,-0.29,0.29,0.37,0.37,34.5,-9.8,10.5,10.7,-1,1.1,,,,0.26,-0.11,0.15,0.18,0.44,26,,,0.68339,,,34,-10,11
GW191126_115259-v1,GW191126_115259,Black Hole (Low Mass),1,GWTC-3-confident,1258804398,12.1,5.5,17.6,-2.2,9.9,8.3,1.9,10.2,-2.4,5.9,0.6859504132,1.03030303,0.595959596,8.3,-0.5,0.2,1620,-740,740,0.21,-0.11,0.32,0.15,0.36,20.7,-2,3.4,8.65,-0.71,0.95,,,,0.3,-0.13,0.17,0.12,0.42,3.2,,,0.70041,,,19.6,-2,3.5
GW191127_050227-v1,GW191127_050227,Black Hole (High Mass),1,GWTC-3-confident,1258866166,53,47,100,-20,33,24,17,41,-14,10,0.4528301887,1.242424242,0.303030303,9.2,-0.6,0.7,3400,-1900,3100,0.18,-0.36,0.54,0.34,0.52,80,-22,39,29.9,-9.1,11.7,,,,0.57,-0.29,0.28,0.4,0.97,0.25,,,0.48622,,,76,-21,39
GW191129_134029-v1,GW191129_134029,Black Hole (Low Mass),1,GWTC-3-confident,1259070047,10.7,4.1,14.8,-2.1,8.6,6.7,1.5,8.2,-1.7,5,0.6261682243,0.9534883721,0.5813953488,13.1,-0.3,0.2,790,-330,260,0.06,-0.08,0.14,0.16,0.22,17.5,-1.2,2.4,7.31,-0.28,0.43,,,,0.16,-0.06,0.1,0.05,0.21,1.00E-05,,,0.99,,,16.8,-1.2,2.5
GW191204_110529-v1,GW191204_110529,Black Hole (High Mass),1,GWTC-3-confident,1259492748,27.3,11,38.3,-6,21.3,19.3,5.6,24.9,-6,13.3,0.706959707,1.169014085,0.6244131455,8.8,-0.6,0.4,1800,-1100,1700,0.05,-0.27,0.32,0.26,0.31,47.2,-8,9.2,19.8,-3.3,3.6,,,,0.34,-0.18,0.16,0.25,0.59,3.3,,,0.74239,,,45,-7.6,8.6
GW191204_171526-v1,GW191204_171526,Black Hole (Low Mass),1,GWTC-3-confident,1259514944,11.9,3.3,15.2,-1.8,10.1,8.2,1.4,9.6,-1.6,6.6,0.6890756303,0.9504950495,0.6534653465,17.5,-0.2,0.2,650,-250,190,0.16,-0.05,0.21,0.08,0.24,20.21,-0.96,1.7,8.55,-0.27,0.38,,,,0.13,-0.05,0.08,0.04,0.17,1.00E-05,,,0.99,,,19.21,-0.95,1.79
GW191215_223052-v1,GW191215_223052,Black Hole (High Mass),1,GWTC-3-confident,1260484270,24.9,7.1,32,-4.1,20.8,18.1,3.8,21.9,-4.1,14,0.7269076305,1.052884615,0.6730769231,11.2,-0.4,0.3,1930,-860,890,-0.04,-0.21,0.17,0.17,0.21,43.3,-4.3,5.3,18.4,-1.7,2.2,,,,0.35,-0.14,0.21,0.13,0.48,1.00E-05,,,0.99,,,41.4,-4.1,5.1
GW191216_213338-v1,GW191216_213338,Black Hole (Low Mass),1,GWTC-3-confident,1260567236,12.1,4.6,16.7,-2.3,9.8,7.7,1.6,9.3,-1.9,5.8,0.6363636364,0.9489795918,0.5918367347,18.6,-0.2,0.2,340,-130,120,0.11,-0.06,0.17,0.13,0.24,19.81,-0.94,2.69,8.33,-0.19,0.22,,,,0.07,-0.03,0.04,0.02,0.09,1.00E-05,,,0.99,,,18.87,-0.94,2.8
GW191219_163120-v1,GW191219_163120,Neutron Star + Black Hole,1,GWTC-3-confident,1260808298,31.1,2.2,33.3,-2.8,28.3,1.17,0.07,1.24,-0.06,1.11,0.03762057878,0.04381625442,0.03922261484,9.1,-0.8,0.5,550,-160,250,0,-0.09,0.09,0.07,0.07,32.3,-2.7,2.2,4.32,-0.17,0.12,,,,0.11,-0.03,0.08,0.05,0.16,4,,,0.8224,,,32.2,-2.7,2.2
GW191222_033537-v1,GW191222_033537,Black Hole (High Mass),1,GWTC-3-confident,1261020955,45.1,10.9,56,-8,37.1,34.7,9.3,44,-10.5,24.2,0.7694013304,1.185983827,0.6522911051,12.5,-0.3,0.2,3000,-1700,1700,-0.04,-0.25,0.21,0.2,0.24,79,-11,16,33.8,-5,7.1,,,,0.51,-0.26,0.25,0.23,0.74,1.00E-05,,,0.99,,,75.5,-9.9,15.3
GW191230_180458-v1,GW191230_180458,Black Hole (High Mass),1,GWTC-3-confident,1261764316,49.4,14,63.4,-9.6,39.8,37,11,48,-12,25,0.7489878543,1.206030151,0.6281407035,10.4,-0.4,0.3,4300,-1900,2100,-0.05,-0.31,0.26,0.26,0.31,86,-12,19,36.5,-5.6,8.2,,,,0.69,-0.27,0.42,0.26,0.95,0.05,,,0.9462,,,82,-11,17
GW200112_155838-v1,GW200112_155838,Black Hole (High Mass),1,GWTC-3-confident,1262879936,35.6,6.7,42.3,-4.5,31.1,28.3,4.4,32.7,-5.9,22.4,0.7949438202,1.051446945,0.7202572347,19.8,-0.2,0.1,1250,-460,430,0.06,-0.15,0.21,0.15,0.21,63.9,-4.6,5.7,27.4,-2.1,2.6,,,,0.24,-0.08,0.16,0.07,0.31,1.00E-05,,,0.99,,,60.8,-4.3,5.3
GW200115_042309-v2,GW200115_042309,Neutron Star + Black Hole,2,GWTC-3-confident,1263097408,5.9,2,7.9,-2.5,3.4,1.44,0.85,2.29,-0.29,1.15,0.2440677966,0.6735294118,0.3382352941,11.3,-0.5,0.3,290,-100,150,-0.15,-0.42,0.27,0.24,0.39,7.4,-1.7,1.8,2.43,-0.07,0.05,,,,0.06,-0.02,0.04,0.03,0.09,1.00E-05,,,0.99,,,7.2,-1.7,1.8
GW200128_022011-v1,GW200128_022011,Black Hole (High Mass),1,GWTC-3-confident,1264213230,42.2,11.6,53.8,-8.1,34.1,32.6,9.5,42.1,-9.2,23.4,0.7725118483,1.234604106,0.6862170088,10.6,-0.4,0.3,3400,-1800,2100,0.12,-0.25,0.37,0.24,0.36,75,-12,17,32,-5.5,7.5,,,,0.56,-0.28,0.28,0.28,0.84,0.0043,,,0.99,,,71,-11,16
GW200129_065458-v1,GW200129_065458,Black Hole (High Mass),1,GWTC-3-confident,1264316116,34.5,9.9,44.4,-3.2,31.3,28.9,3.4,32.3,-9.3,19.6,0.8376811594,1.031948882,0.6261980831,26.8,-0.2,0.2,900,-380,290,0.11,-0.16,0.27,0.11,0.22,63.4,-3.6,4.3,27.2,-2.3,2.1,,,,0.18,-0.07,0.11,0.05,0.23,1.00E-05,,,0.99,,,60.3,-3.3,4
GW200202_154313-v1,GW200202_154313,Black Hole (Low Mass),1,GWTC-3-confident,1264693412,10.1,3.5,13.6,-1.4,8.7,7.3,1.1,8.4,-1.7,5.6,0.7227722772,0.9655172414,0.6436781609,10.8,-0.4,0.2,410,-160,150,0.04,-0.06,0.1,0.13,0.17,17.58,-0.67,1.78,7.49,-0.2,0.24,,,,0.09,-0.03,0.06,0.03,0.12,1.00E-05,,,0.99,,,16.76,-0.66,1.87
GW200208_130117-v1,GW200208_130117,Black Hole (High Mass),1,GWTC-3-confident,1265202096,37.8,9.2,47,-6.2,31.6,27.4,6.1,33.5,-7.4,20,0.7248677249,1.060126582,0.6329113924,10.8,-0.4,0.3,2230,-850,1000,-0.07,-0.27,0.2,0.22,0.29,65.4,-6.8,7.8,27.7,-3.1,3.6,,,,0.4,-0.14,0.26,0.15,0.55,0.00031,,,0.99,,,62.5,-6.4,7.3
GW200208_222617-v1,GW200208_222617,Black Hole (High Mass),1,GWTC-3-confident,1265235996,51,104,155,-30,21,12.3,9,21.3,-5.7,6.6,0.2411764706,1.014285714,0.3142857143,7.4,-1.2,1.4,4100,-1900,4400,0.45,-0.44,0.89,0.43,0.88,63,-25,100,19.6,-5.1,10.7,,,,0.66,-0.28,0.38,0.54,1.2,4.8,,,0.70006,,,61,-25,100
GW200209_085452-v1,GW200209_085452,Black Hole (High Mass),1,GWTC-3-confident,1265273710,35.6,10.5,46.1,-6.8,28.8,27.1,7.8,34.9,-7.8,19.3,0.7612359551,1.211805556,0.6701388889,9.6,-0.5,0.4,3400,-1800,1900,-0.12,-0.3,0.18,0.24,0.36,62.6,-9.4,13.9,26.7,-4.2,6,,,,0.57,-0.26,0.31,0.25,0.82,0.046,,,0.95396,,,59.9,-8.9,13.1
GW200210_092254-v1,GW200210_092254,Black Hole (High Mass),1,GWTC-3-confident,1265361793,24.1,7.5,31.6,-4.6,19.5,2.83,0.47,3.3,-0.42,2.41,0.1174273859,0.1692307692,0.1235897436,8.4,-0.7,0.5,940,-340,430,0.02,-0.21,0.23,0.22,0.24,27,-4.3,7.1,6.56,-0.4,0.38,,,,0.19,-0.06,0.13,0.08,0.27,1.2,,,0.42219,,,26.7,-4.3,7.2
GW200216_220804-v1,GW200216_220804,Black Hole (High Mass),1,GWTC-3-confident,1265926103,51,22,73,-13,38,30,14,44,-16,14,0.5882352941,1.157894737,0.3684210526,8.1,-0.5,0.4,3800,-2000,3000,0.1,-0.36,0.46,0.34,0.44,81,-14,20,32.9,-8.5,9.3,,,,0.63,-0.29,0.34,0.37,1,0.35,,,0.77277,,,78,-13,19
GW200219_094415-v1,GW200219_094415,Black Hole (High Mass),1,GWTC-3-confident,1266140673,37.5,10.1,47.6,-6.9,30.6,27.9,7.4,35.3,-8.4,19.5,0.744,1.153594771,0.637254902,10.7,-0.5,0.3,3400,-1500,1700,-0.08,-0.29,0.21,0.23,0.31,65,-8.2,12.6,27.6,-3.8,5.6,,,,0.57,-0.22,0.35,0.22,0.79,0.00099,,,0.99,,,62.2,-7.8,11.7
GW200220_061928-v1,GW200220_061928,Black Hole (High Mass),1,GWTC-3-confident,1266214787,87,40,127,-23,64,61,26,87,-25,36,0.7011494253,1.359375,0.5625,7.2,-0.7,0.4,6000,-3100,4800,0.06,-0.38,0.44,0.4,0.46,148,-33,55,62,-15,23,,,,0.9,-0.4,0.5,0.55,1.45,6.8,,,0.62376,,,141,-31,51
GW200220_124850-v1,GW200220_124850,Black Hole (High Mass),1,GWTC-3-confident,1266238148,38.9,14.1,53,-8.6,30.3,27.9,9.2,37.1,-9,18.9,0.7172236504,1.224422442,0.6237623762,8.5,-0.5,0.3,4000,-2200,2800,-0.07,-0.33,0.26,0.27,0.34,67,-12,17,28.2,-5.1,7.3,,,,0.66,-0.31,0.35,0.36,1.02,30,,,0.20309,,,64,-11,16
GW200224_222234-v1,GW200224_222234,Black Hole (High Mass),1,GWTC-3-confident,1266618172,40,6.9,46.9,-4.5,35.5,32.5,5,37.5,-7.2,25.3,0.8125,1.056338028,0.7126760563,20,-0.2,0.2,1710,-640,490,0.1,-0.15,0.25,0.15,0.25,72.2,-5.1,7.2,31.1,-2.6,3.2,,,,0.32,-0.11,0.21,0.08,0.4,1.00E-05,,,0.99,,,68.6,-4.7,6.6
GW200225_060421-v1,GW200225_060421,Black Hole (High Mass),1,GWTC-3-confident,1266645879,19.3,5,24.3,-3,16.3,14,2.8,16.8,-3.5,10.5,0.725388601,1.030674847,0.6441717791,12.5,-0.4,0.3,1150,-530,510,-0.12,-0.28,0.16,0.17,0.29,33.5,-3,3.6,14.2,-1.4,1.5,,,,0.22,-0.1,0.12,0.09,0.31,1.10E-05,,,0.99,,,32.1,-2.8,3.5
GW200302_015811-v1,GW200302_015811,Black Hole (High Mass),1,GWTC-3-confident,1267149510,37.8,8.7,46.5,-8.5,29.3,20,8.1,28.1,-5.7,14.3,0.5291005291,0.9590443686,0.4880546075,10.8,-0.4,0.3,1480,-700,1020,0.01,-0.26,0.27,0.25,0.26,57.8,-6.9,9.6,23.4,-3,4.7,,,,0.28,-0.12,0.16,0.16,0.44,0.11,,,0.90643,,,55.5,-6.6,8.9
GW200306_093714-v1,GW200306_093714,Black Hole (High Mass),1,GWTC-3-confident,1267522652,28.3,17.1,45.4,-7.7,20.6,14.8,6.5,21.3,-6.4,8.4,0.5229681979,1.033980583,0.4077669903,7.8,-0.6,0.4,2100,-1100,1700,0.32,-0.46,0.78,0.28,0.6,43.9,-7.5,11.8,17.5,-3,3.5,,,,0.38,-0.18,0.2,0.24,0.62,24,,,0.24004,,,41.7,-6.9,12.3
GW200308_173609-v1,GW200308_173609,Black Hole (High Mass),1,GWTC-3-confident,1267724188,36.4,11.2,47.6,-9.6,26.8,13.8,7.2,21,-3.3,10.5,0.3791208791,0.7835820896,0.3917910448,7.1,-0.5,0.5,5400,-2600,2700,0.65,-0.21,0.86,0.17,0.82,50.6,-8.5,10.9,19,-2.8,4.8,,,,0.83,-0.35,0.48,0.32,1.15,2.4,,,0.8566,,,47.4,-7.7,11.1
GW200311_115853-v1,GW200311_115853,Black Hole (High Mass),1,GWTC-3-confident,1267963151,34.2,6.4,40.6,-3.8,30.4,27.7,4.1,31.8,-5.9,21.8,0.8099415205,1.046052632,0.7171052632,17.8,-0.2,0.2,1170,-400,280,-0.02,-0.2,0.18,0.16,0.18,61.9,-4.2,5.3,26.6,-2,2.4,,,,0.23,-0.07,0.16,0.05,0.28,1.00E-05,,,0.99,,,59,-3.9,4.8
GW200316_215756-v1,GW200316_215756,Black Hole (Low Mass),1,GWTC-3-confident,1268431094,13.1,10.2,23.3,-2.9,10.2,7.8,1.9,9.7,-2.9,4.9,0.5954198473,0.9509803922,0.4803921569,10.3,-0.7,0.4,1120,-440,470,0.13,-0.1,0.23,0.27,0.4,21.2,-2,7.2,8.75,-0.55,0.62,,,,0.22,-0.08,0.14,0.08,0.3,1.00E-05,,,0.99,,,20.2,-1.9,7.4
GW200322_091133-v1,GW200322_091133,Black Hole (High Mass),1,GWTC-3-confident,1268903511,34,48,82,-18,16,14,16.8,30.8,-8.7,5.3,0.4117647059,1.925,0.33125,6,-1.2,1.7,3600,-2000,7000,0.24,-0.51,0.75,0.45,0.69,55,-27,37,15.5,-3.7,15.7,,,,0.6,-0.3,0.3,0.84,1.44,140,,,0.077572,,,53,-26,38